id,FM18_CH3OH_4.1/day,FM18_CH3OH_4.1/day_R1,FM20_no-lim_5.2/day,FM20_no-lim_5.2/day_R1,FM21_no-lim_5.4/day,FM21_no-lim_5.4/day_R1,FM21_no-lim_5.4/day_R2,FM12_CH4-lim_3.0/day,FM12_CH4-lim_3.0/day_R1,FM14_CH4-lim_3.0/day,FM14_CH4-lim_3.0/day_R1,FM19_O2-lim_3.5.day,FM19_O2-lim_3.5.day_R1,FM19_O2-lim_3.5.day_R2,FM22_O2-lim_4.2/day,FM22_O2-lim_4.2/day_R1,FM22_O2-lim_4.2/day_R2,FM34_-Cu_2.7/day_t0,FM40_-Cu_2.9/day_t0m,FM40_+Cu_2.9/day_t10m,FM40_+Cu_2.9/day_t20m,FM40_+Cu_2.9/day_t40m,FM40_+Cu_2.9/day_t60m,FM40_+Cu_2.9/day_t90m,FM40_+Cu_2.9/day_t180m,FM34_+Cu_2.7/day_t180m,FM34_+Cu_2.7/day_t240m,FM34_+Cu_2.7/day_t300m,FM34_+Cu_2.7/day_t360m,FM34_+Cu_2.7/day_t420m,FM34_+Cu_2.7/day_t480m,FM69_O2-lim+_0.7/day_t2,FM69_?-lim_0.7/day_t3,FM69_?-lim_0.7/day_t3_R1,FM69_?-lim_0.7/day_t4,FM69_?-lim_0.7/day_t4_R2,FM80_O2-lim_0.7/day_t2,FM80_O2-lim_0.7/day_t4,FM81_O2-lim+_0.7/day_t1,FM81_O2-lim_0.7/day_t2
MBURv2_160128,-0.005097718,0.562520705,0.222515186,0.222985399,0.264249714,0.154575559,0.143547602,-0.987625557,-1.302447081,-0.292367081,-0.351530417,-0.368247648,-0.383692189,-0.3508596,-0.498706881,-0.056534608,-0.257641056,0.081213839,-0.379168341,-0.364201714,-0.486419079,-0.112420136,-0.677221114,-0.371376756,0.064926249,0.013425893,-0.024650707,-0.21074751,0.572423935,0.22868437,0.42226247,-0.15211534,0.310594669,0.539404734,0.353171211,0.505544501,-0.173505787,-0.205161234,-0.358407718,-0.416651368
MBURv2_160129,-0.259211449,-0.022527291,-0.231204479,-0.269941531,-0.179612017,-0.208020004,-0.194758189,-1.203038029,-1.268291878,-0.618649669,-0.834988235,-0.646781439,-0.799283112,-0.72022988,-0.61297147,-0.354934371,-0.441491877,-1.021269119,-0.823522521,-0.88136444,-0.886493863,-0.829684477,-1.146757816,-0.809802516,-0.746454912,-1.113117762,-0.958127497,-0.928472462,-0.738233048,-0.699285943,-0.726635668,-1.254628714,-0.663799438,-0.642763863,-0.557529947,-0.542996642,-0.971718894,-0.981140984,-1.098710298,-1.314750569
MBURv2_160130,-0.050470463,0.131514594,-0.045957906,-0.181747092,-0.17042121,-0.130916574,-0.239643336,-1.114150993,-1.174920604,-0.605581446,-0.770904502,-0.651036534,-0.850055265,-0.820060471,-0.724515505,-0.344247424,-0.551820193,-0.922114179,-0.850171215,-0.77819028,-0.908826315,-0.666279575,-1.002267125,-0.783878019,-0.565231838,-0.658876984,-0.771657748,-0.790628815,-0.39241962,-0.45802216,-0.716608208,-0.88047066,-0.002753279,-0.147037758,-0.089714456,-0.43425243,-0.625390637,-0.718313825,-0.793351241,-0.91141606
MBURv2_160131,-0.013881727,0.479885294,0.197814598,0.022970995,-0.064996982,0.129348436,-0.14555497,-1.008634541,-1.159970259,-0.444611691,-0.415792532,-0.309820736,-0.581308366,-0.670389809,-0.493344917,0.023748471,-0.350578549,-0.428696646,-0.222165885,-0.376429394,-0.172044246,-0.364981324,-0.32492398,-0.383986314,-0.209140016,-0.109990935,-0.097534689,-0.046138756,0.271989983,-0.110632594,0.059551427,-1.039546247,0.013470918,-0.11941822,-0.032260609,-0.034360725,-0.414685137,-0.538718765,-0.732486899,-0.798267806
MBURv2_160132,0.391388784,0.427551663,0.733524354,0.401077721,0.213277238,0.64977439,0.284434063,-0.331857692,-0.351990354,-0.003218345,-0.018216395,0.173418834,-0.20036493,-0.087490548,0.069968872,0.495905156,0.109771508,-0.239210665,0.336684368,0.17151192,-0.074225695,0.103795675,0.044580664,0.286935196,0.303863162,-0.000273325,0.075682629,0.178558023,0.364208934,0.288628583,0.234713253,-0.465816143,0.332282279,0.313299574,0.415185221,0.178145725,-0.002917784,-0.214183626,-0.572146565,-0.579161396
MBURv2_160133,-0.075745889,-0.024055649,0.058958735,0.046163293,0.03485872,0.044281839,0.002997523,-0.666133264,-0.75539657,-0.417158666,-0.577805706,-0.581418665,-0.601832211,-0.464185939,-0.285007503,-0.24033464,-0.228101043,-0.685009136,-0.294995868,-0.545529358,-0.477283229,-0.530187428,-0.517027788,-0.573104302,-0.444728206,-0.578509874,-0.39544701,-0.209557889,-0.423365351,-0.41496731,-0.237934415,-0.838878596,-0.078346666,-0.260240524,-0.066544791,-0.209436273,-0.47725496,-0.632644916,-0.957754541,-1.031122685
MBURv2_160134,0.402076777,0.431955445,0.913168776,0.638254973,0.5334421,0.818057494,0.567492268,-0.33569431,-0.531791995,0.043837594,0.006183403,0.07491616,-0.130056912,-0.066895933,0.14957163,0.56714539,0.273406863,0.006920057,0.377266179,0.022800443,0.130043571,0.211619011,0.116918496,-0.006838739,0.166463389,-0.170314774,-0.012327267,0.209155745,0.3944488,0.172649018,0.308242656,-0.332124928,0.563883123,0.425360773,0.642923425,0.310490514,0.391821391,0.151836626,-0.055299499,-0.056583663
MBURv2_160135,0.984849611,0.593824825,1.206188184,0.498706556,0.622143306,1.148181241,0.827863902,-0.068307034,-0.780429345,0.141721461,0.222192638,0.658291524,0.606446757,0.537352228,0.275741408,0.847976982,0.170237193,0.167659513,0.928009506,0.136807461,0.727727376,0.030830875,0.751959954,0.100813687,0.110518755,0.361587118,0.500146868,0.61280464,0.455577287,0.775177016,0.676244439,-0.444599657,0.699827948,0.665721969,0.795602604,0.776314556,0.506498176,0.146608542,-0.068392409,-0.215775372
MBURv2_160136,0.408256574,0.778698543,0.659609225,0.466586698,0.412461936,0.604841774,0.522297453,-0.342514233,-0.443232624,-0.205349083,-0.221634472,0.095677637,0.124610145,0.133213686,0.066504457,0.163860678,0.030554727,0.083036575,0.616814829,0.091045907,0.450720287,0.081934586,0.515316128,-0.080182899,0.224799885,0.12721706,0.344657599,0.40578507,0.302312682,0.446731519,0.335497942,-0.467117094,0.160076735,0.307359729,0.111479351,0.53711458,-0.033012456,-0.293041302,-0.591596091,-0.8813531
MBURv2_160137,0.398892289,0.743900957,0.608964011,0.388442465,0.335904403,0.510440615,0.554393688,-0.382329876,-1.351804508,-0.42647297,-0.239712314,0.056395539,0.368053327,0.158463824,0.05917174,0.074830547,-0.085586131,0.026663105,0.57725828,-0.232842513,0.480179641,-0.091208681,0.521676926,-0.153322098,-0.064251189,0.319209946,0.588867154,0.661377668,0.661118048,0.440891715,0.751138933,-0.466625964,0.014550467,0.29654821,-0.151927995,0.482460888,-0.286030104,-0.536831997,-0.954680314,-0.97373918
MBURv2_160138,0.327328063,0.677876188,0.617750602,0.335996941,0.37402739,0.574311669,0.416530057,-0.477838882,-0.895199298,-0.201138979,-0.218568357,0.287562209,0.271928016,0.096634702,-0.146523998,0.209944679,-0.142166259,0.013722813,0.150251416,-0.165750957,0.093040067,0.053963316,0.297311074,0.035533675,0.150812433,0.007277225,0.169420419,0.20177396,0.709236191,0.368787013,0.534508503,-0.27555408,0.414712173,0.919855293,0.45380216,0.744048215,0.203049738,0.015795498,-0.195325807,-0.186658727
MBURv2_160139,-0.513149511,0.309646347,-0.06694766,0.295529611,0.04179448,-0.216317822,0.055829528,-1.163087875,-1.32849439,-0.680769071,-0.77766774,-0.815334328,-0.445968257,-0.587724666,-0.320117185,-0.483916792,-0.331026594,-0.450225386,-0.354832525,-0.562363739,-0.354150815,-0.323089747,-0.407507899,-0.250381636,-0.269170044,-0.055547653,0.064376379,0.162029727,0.313417813,-0.039583681,0.270564001,-0.415776822,-0.568031602,-0.25832371,-0.510599348,-0.25096128,-0.598695895,-0.660052684,-0.837263556,-0.820418531
MBURv2_160140,-0.09073934,-0.070954845,-0.360138296,-0.499409189,-0.533475915,-0.330583096,-0.544330003,-0.501877911,-0.443696614,-0.663180397,-0.796436824,-0.897545687,-0.908569961,-0.989553014,-0.643869069,-0.598218956,-0.71142739,-0.797906253,-0.540940943,-0.467394249,-0.499911276,-0.722145763,-0.695358318,-0.876789518,-0.796276722,-0.91627878,-0.548159329,-0.531425977,-0.484118412,-0.537599819,-0.477112094,-0.462209057,0.125668412,0.113373266,0.107742363,-0.248093373,-0.545859116,-0.576197325,-0.774273541,-0.821929876
MBURv2_160141,-0.249251805,-0.508362562,0.461814225,0.238578742,0.425245864,0.654836441,0.436343232,-1.284719807,-1.186000841,-1.101703815,-1.395425379,0.487530383,0.374458038,0.488910497,0.593261037,0.769085555,0.589583519,-0.638543756,-0.106752243,-0.201000974,-0.289629421,-0.298616005,-0.449294293,-0.363210575,-0.44746013,-0.736716194,-0.770013619,-0.507847653,-0.6466101,-0.421466201,-0.536278767,0.067685339,-0.354932082,-0.600657921,-0.469709809,-0.81994455,0.546196316,0.541021766,0.415751495,0.302315403
MBURv2_160142,-0.204974597,-0.029261867,0.893688816,1.164672841,1.204403286,0.977793896,1.28912648,-1.091396419,-1.094525665,-0.957493596,-1.050436882,0.839535128,1.131661075,1.204153529,1.533168315,1.202101288,1.558107274,0.039208358,0.66882934,0.566568287,0.425000809,0.390368961,0.50834041,0.42353745,0.316659166,-0.056618635,0.109904082,-0.005557178,0.044500997,0.109482567,0.360416464,1.197995986,-0.253012199,-0.215327496,-0.303102594,-0.04415267,1.307505105,1.326335632,1.103230244,1.031775871
MBURv2_160143,-0.409336824,-0.352975746,-0.400983724,-0.377298673,-0.431787237,-0.352055861,-0.438434071,-1.510887257,-1.474158707,-1.305393009,-1.560540229,-0.495374516,-0.487904743,-0.450292468,-0.407766245,-0.395154263,-0.390490022,-0.688111602,-0.471094956,-0.442995684,-0.623112555,-0.571634008,-0.774890077,-0.806488695,-0.854775567,-1.059523391,-0.737000807,-0.87078502,-0.725144955,-0.708863314,-0.672461536,-0.276363006,-0.319778021,-0.364974829,-0.505193826,-0.573170629,-0.232314986,-0.243317794,-0.421825307,-0.529420848
MBURv2_160144,0.026670666,0.209895813,-0.005539513,0.140813245,-0.080393443,-0.032230164,-0.000890563,-0.419210668,-0.287810115,-0.346063687,-0.470002167,-0.690722114,-0.464137877,-0.511420603,-0.270970536,-0.372270087,-0.210399646,-0.28629529,0.235076821,-0.037755362,0.031045037,0.020203905,-0.130582222,0.136377887,-0.239415869,-0.208167473,0.077629358,0.033178073,-0.297585535,-0.414718376,-0.085505879,-0.40376594,0.752017695,0.803508199,0.399184145,0.687604828,-0.078257472,-0.227255005,-0.389254165,-0.276808248
MBURv2_160145,0.049532245,-0.229022781,-0.555979684,-0.629027936,-0.675466773,-0.549467609,-0.636826503,-1.132087642,-1.075721568,-0.793016164,-1.008297807,-0.769805596,-0.902523854,-0.812019568,-0.939857188,-0.867404922,-0.834701469,-1.199860872,-0.802003298,-1.054891394,-1.165107748,-0.947612095,-1.512593101,-1.117442611,-1.433697589,-1.160974686,-1.092833196,-0.880387508,-1.28709997,-0.948996483,-1.163829581,-1.144827976,-0.268572539,-0.658494008,-0.38324847,-0.68396297,-1.036910944,-1.027891639,-1.158758792,-1.172825628
MBURv2_160146,0.058120459,-0.109311057,-0.650358086,-0.829262148,-0.66863609,-0.64008615,-0.692620637,-1.093129557,-1.033127972,-1.12584691,-1.396705754,-0.989312249,-1.08041852,-0.944994269,-0.99005483,-0.899638358,-0.974460797,-1.706241526,-1.278488354,-1.349913157,-1.425807182,-1.474530758,-1.907336244,-1.590211358,-1.735002218,-1.68865525,-1.526178758,-1.370066705,-1.501742084,-1.324890428,-1.145046767,-1.571750635,-0.53813887,-1.089881334,-0.503866072,-0.81687843,-1.19786352,-1.215102465,-1.343423723,-1.464514276
MBURv2_160147,0.140820069,-0.014656951,0.239979092,-0.025191048,0.024430103,0.081498247,0.077039849,-0.555745032,-0.479181449,-0.424612444,-0.670254797,-0.46208929,-0.511453632,-0.329937293,-0.311546146,-0.180136753,-0.290268391,-0.57022294,-0.338420003,-0.371444232,-0.49565117,-0.542571152,-0.733943502,-0.578266342,-0.891806297,-1.015697995,-0.56243871,-0.670015789,-0.663561431,-0.393578201,-0.622023057,-0.909267924,0.289987845,0.158417291,0.312701377,0.210088617,-0.158507475,-0.10245568,-0.334075016,-0.342989325
MBURv2_160148,-0.230212264,-0.165347097,-1.072379363,-0.805270878,-0.974904669,-1.111012543,-0.974537461,-1.152271351,-1.049630201,-1.131940615,-1.32633869,-1.736050306,-1.382719637,-1.358407328,-1.171453714,-1.328409363,-1.134255591,-1.051363756,-0.873452902,-0.801053649,-1.017235717,-0.982367125,-1.236705446,-1.339376564,-1.259198425,-1.377406922,-1.228651405,-1.024071144,-1.050828565,-0.955776142,-1.00621512,-1.185079736,-0.748799029,-0.264809256,-0.799677897,-0.465037723,-1.307240713,-1.376617028,-1.657192542,-1.620175484
MBURv2_160149,0.184767484,-0.058712576,-0.370175906,-0.545880499,-0.619217244,-0.483085051,-0.68669123,-0.946367968,-0.904930921,-0.883925393,-1.040796218,-0.830948806,-1.08154581,-0.819098787,-0.791990469,-0.682150027,-0.871051015,-0.907844411,-0.713024421,-0.866883961,-0.847204556,-1.138781431,-1.174257602,-1.057050098,-1.101478741,-1.171236727,-0.885095742,-1.100061711,-1.047816675,-0.96064152,-1.061208833,-1.250259617,0.206764544,-0.305932052,0.001061146,-0.130044073,-0.520074303,-0.619745175,-0.683378292,-0.664469308
MBURv2_160150,0.425859337,0.303328365,-0.107243023,-0.032573887,0.018321778,-0.331297301,-0.172059803,-0.041452548,0.063763297,-0.023217701,-0.225395012,-0.509908797,-0.179195521,-0.165191016,-0.24915086,-0.395907837,-0.164316468,-0.352682688,-0.243314016,-0.943898899,-0.29316591,-0.844568714,-0.606566561,-1.120314992,-0.564641554,-0.308502202,-0.276893056,-0.510307791,-1.219583023,0.078321635,0.344259958,0.080861832,0.498814299,0.434051734,0.638748186,0.879940016,-0.078257472,-0.290980603,-0.353776269,-0.345354399
MBURv2_160153,0.462247017,-0.30995986,0.164899975,-0.11143364,-0.288305109,-0.089742623,-0.202138499,-0.903056251,-0.661892983,-1.300601388,-1.215570619,-0.746186744,-0.427013461,-0.467664421,-0.57656706,-0.376789458,-0.538860382,-0.414197077,-0.871345239,-0.93333561,-1.22649203,-0.70706519,-0.835190936,-0.933901867,-1.509472963,-1.048088496,-0.863069435,-1.439371885,-1.2030949,-0.73526524,-0.601777214,-2.980652558,0.330943955,0.823998252,0.33749601,-0.741001782,-0.683257726,-0.954427129,-0.867802863,-0.917235379
MBURv2_160154,0.138366832,-0.364202905,-0.00816373,-0.324443897,-0.275838811,-0.122111168,-0.312415578,-0.967132698,-0.909446402,-1.003299857,-1.273157107,-0.335119084,-0.41961744,-0.380856981,-0.594904076,-0.218811887,-0.486074861,-1.352962904,-0.964809593,-1.34253555,-1.006441552,-1.145358042,-1.313931809,-1.158069914,-1.267977437,-1.219145206,-1.117611131,-1.822237677,-0.754837605,-0.775008715,-0.643741929,-1.346839609,-0.666588446,-0.71735997,-0.672141732,-0.860833168,-0.996840693,-0.950223902,-1.373152662,-1.342845451
MBURv2_160155,-0.038333656,0.007012545,-0.4083974,-0.564307183,-0.582923967,-0.526612644,-0.637731725,-1.322476828,-1.433411616,-1.060760812,-1.052395545,-1.10526454,-1.173479594,-1.118876839,-0.959498384,-0.68807124,-0.927325126,-1.115268261,-0.990193472,-1.268439901,-1.071329476,-1.360160859,-1.300863385,-1.194941173,-1.12445517,-1.120963682,-1.080716145,-1.481168759,-1.286885863,-0.755720083,-1.246845148,-1.844662313,-0.673547024,-0.6925599,-0.772737757,-1.075462157,-1.228237335,-1.317052483,-1.585308505,-1.649942576
MBURv2_160156,-0.262919767,-1.072994329,-0.750814433,-1.291824176,-1.200738529,-0.889032319,-1.165219231,-1.748941598,-1.834747348,-1.574694546,-1.891970431,-1.248059709,-1.763245524,-1.494241981,-1.517593235,-1.035151931,-1.530082218,-2.373903689,-2.056471965,-2.219345693,-2.262883377,-2.144148795,-2.349753294,-2.066258119,-2.09489517,-2.258901866,-1.906840313,-2.04899644,-2.190282249,-1.912697575,-1.881319543,-3.39526113,-1.323600757,-2.157360018,-1.31399727,-2.50262943,-1.911453175,-1.784458897,-2.012827931,-2.056163489
MBURv2_160157,0.845001234,0.426594652,0.4591038,0.121750104,0.240192599,0.399312798,0.156040647,-0.04297679,-0.293119731,0.232365533,0.315077477,-0.106145,-0.624700288,-0.546729424,-0.268510771,0.201689919,-0.339090869,0.065272295,0.306776916,0.392150304,0.325127127,0.136815608,-0.114858539,-0.212931251,-0.043809391,0.035452199,0.101826764,0.220669733,0.227464871,-0.067529231,-0.144675655,0.546122529,0.993607861,1.00663051,0.975227466,1.0946114,0.348752669,0.257976083,0.02068022,0.134177548
MBURv2_160158,-0.08502502,0.261843065,-0.928543591,-0.763778774,-0.801340129,-0.974945744,-0.862852212,-1.522872898,-1.539655096,-1.418621073,-1.411321608,-1.55401208,-1.315633357,-1.499854824,-1.35860912,-1.341965913,-1.246708813,-1.202983867,-0.721204889,-0.811745773,-0.881550785,-0.859068284,-0.827727605,-1.094028946,-1.120261451,-0.857422664,-1.008194351,-1.252653237,-0.920798592,-0.670325764,-0.874870292,-0.844207116,-0.329560293,-0.16964733,-0.581841543,0.026721353,-1.179789035,-1.364207066,-1.375053747,-1.484826177
MBURv2_160159,-1.221898291,0.105411558,-3.028328638,-0.096797424,-0.307467366,-3.028328638,-0.220459779,-1.285358086,-0.91116492,-2.137460511,-2.491890716,-3.028328638,-0.764952676,-0.666557947,-0.170107067,-3.028328638,-0.445081565,-0.630216663,-0.016684602,-1.34481529,-0.021645039,-1.187691031,-0.573532304,-1.274992219,-1.350787144,-0.927073095,-0.36765852,-0.518655134,-0.082079499,-0.410716445,-0.32875872,-1.707634063,-3.028328638,0.171017328,-3.028328638,-0.024376636,-3.028328638,-3.028328638,-3.028328638,-3.028328638
MBURv2_160160,-0.33057033,-0.000415489,-1.55923878,-1.673374529,-1.539876497,-1.469858132,-1.738943182,-1.859826,-1.732297661,-1.665286856,-1.942552125,-1.920841898,-1.702431592,-1.835707097,-1.931475783,-1.893645766,-1.741850039,-1.671693299,-1.664894361,-1.57132382,-1.184427971,-1.448146893,-1.554215718,-1.209319998,-1.299464266,-1.428204005,-1.416021541,-1.577286491,-0.630516124,-1.95915307,-1.270206538,-1.408073781,-0.941502609,-0.188385473,-0.96963098,-0.753385506,-1.93664955,-1.808113108,-1.723682102,-2.074817019
MBURv2_160161,-1.203665205,-0.883327222,-0.580173943,-0.588405037,-0.669027393,-0.582178279,-0.715670311,-2.570433296,-2.399717202,-2.449622473,-2.449087978,-1.483666882,-1.690278164,-1.639588812,-1.397173221,-1.205441123,-1.371695535,-2.182050864,-1.377881092,-1.974207891,-1.670123481,-1.747937472,-1.511399241,-1.347686172,-1.429593085,-1.351995183,-1.051498905,-1.126607211,-1.43661226,-1.428214218,-1.50178696,-2.147055721,-1.394957782,-1.005369924,-1.48098385,-2.22933304,-2.337106885,-2.136161946,-2.602866715,-2.70534159
MBURv2_160162,-0.534806301,-0.703099949,-1.158685437,-1.628090901,-1.629248987,-0.851594588,-1.495135592,-2.862905393,-2.663949442,-2.12097943,-2.364785125,-0.829403692,-1.568007461,-1.919538688,-1.670342579,-1.106244055,-1.768555439,-3.162873653,-2.47800281,-1.252475118,-1.906221253,-1.623407261,-2.340685042,-1.58946904,-1.437473239,-1.993162286,-2.48621513,-2.532002863,-2.411203096,-2.402805054,-2.702970206,-5.188760753,-2.08475966,-3.047074956,-2.072246046,-4.271038072,-2.919380298,-2.30339786,-3.37547134,-2.952011971
MBURv2_160163,-0.334559271,-0.777182092,-0.510908878,-0.941691525,-1.072001006,-0.793360135,-1.058403021,-1.544792578,-1.337157732,-1.320364643,-1.36743741,-1.502915593,-1.446776716,-1.299032071,-1.165024426,-1.309368143,-1.159384847,-2.585963425,-1.316130081,-1.400557842,-1.513735596,-1.321775034,-1.563905409,-1.073959356,-1.658519235,-1.426305722,-0.619798284,-3.196100734,-1.637895654,-0.427863752,-2.473983281,-0.930026485,-0.566266118,-0.480218392,-0.876705604,-0.649733724,-1.714161539,-1.493564543,-1.887566118,-1.802288325
